Result, Problem Regex, Controller, Application, ignore_exp_match_type, ignore_exp_match_pattern, ignore_exp_regex_groups, ignore_logger_match_type, ignore_logger_match_pattern, ignore_logger_regex_groups 
Pass, , https://dominospizza-prod.saas.appdynamics.com, ecom-us-prod2, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, ecom-golo02-de-prod2, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, ecom-golo-prod2, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, ecom-us-prod1, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, ecom-golo2-va-prod1, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, ecom-onprem, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, ecom-golo-va-prod1, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, ecom-golo02-de-prod1, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, URLMon, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, ecom-golo-va-prod2, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, ecom-us-preprod, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, ecom-us-va-prod2, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, ecom-golo-prod1, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, ecom-golo2-va-prod2, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, URLMonitor, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, NGSS_Perf_env, , , , , ,  
Pass, , https://dominospizza-prod.saas.appdynamics.com, ecom-us-va-prod1, , , , , ,  
